id	altmetric_id	authors	journal	type	altmetric_score	date	males	females	unknown	percmales	percfemales	percunknown
2756	1099285	['Ingo Willuhn', 'Lauren M. Burgeno', 'Barry J. Everitt', 'Paul E. M. Phillips', 'Willuhn I', 'Burgeno LM', 'Everitt BJ', 'Phillips PE', 'I. Willuhn', 'L. M. Burgeno', 'B. J. Everitt', 'P. E. M. Phillips']	Proceedings of the National Academy of Sciences of the United States of America	article	0.5	2012-11-26T00:00:00+00:00	3	1	8	0.25	0.0833333333333333	0.666666666666667
2866	2304189	['Jeffrey A. Hussmann', 'Dianne I. Lou', 'Sara L. Sawyer', 'William H. Press', 'Hussmann, Jeffrey A', 'Lou, Dianne I', 'Sawyer, Sara L', 'Press, William H']	Proceedings of the National Academy of Sciences of the United States of America	article	0.75	2014-04-22T00:00:00+00:00	2	2	8	0.166666666666667	0.166666666666667	0.666666666666667
3264	42702948	['T J Nelson', 'D L Alkon']	Proceedings of the National Academy of Sciences of the United States of America	article	3	1990-01-01T00:00:00+00:00	1	0	1	0.5	0	0.5
3438	42026880	['Mindong Ren', 'Genxing Xu', 'Jianbo Zeng', 'Carmen De Lemos-Chiarandini', 'Milton Adesnik', 'David D. Sabatini']	Proceedings of the National Academy of Sciences of the United States of America	article	3	1998-05-26T00:00:00+00:00	2	1	3	0.333333333333333	0.166666666666667	0.5
3517	3414423	['D Schock', 'S R Kuo', 'M F Steinburg', 'M Bolognino', 'J D Sparks', 'C E Sparks', 'H C Smith']	Proceedings of the National Academy of Sciences of the United States of America	article	9	2015-06-09T07:25:08+00:00	0	0	7	0	0	1
3566	5340183	None	Proceedings of the National Academy of Sciences of the United States of America	article	0	2005-06-24T00:00:00+00:00	0	0	1	0	0	1
3859	42251131	['Claudia Fischbach', 'Hyun Joon Kong', 'Susan X. Hsiong', 'Marta B. Evangelista', 'Will Yuen', 'David J. Mooney']	Proceedings of the National Academy of Sciences of the United States of America	article	3	2009-01-13T00:00:00+00:00	2	3	1	0.333333333333333	0.5	0.166666666666667
4214	524740	['Smirnova, Irina', 'Kasho, Vladimir', 'Choe, Jun-Yong', 'Altenbach, Christian', 'Hubbell, Wayne L', 'Kaback, H Ronald']	Proceedings of the National Academy of Sciences of the United States of America	article	4	2007-10-16T00:00:00+00:00	5	1	6	0.416666666666667	0.0833333333333333	0.5
4325	22807237	['Tsichlis, P N', 'Bear, S E']	Proceedings of the National Academy of Sciences of the United States of America	article	0	1991-06-01T00:00:00+00:00	0	0	4	0	0	1
4527	3049443	['Martínez O', 'Reyes-Valdés MH']	Proceedings of the National Academy of Sciences of the United States of America	article	0.5	2008-07-08T23:00:00+00:00	0	0	2	0	0	1
4699	5569246	['Ramsay, G M', 'Enrietto, P J', 'Graf, T', 'Hayman, M J']	Proceedings of the National Academy of Sciences of the United States of America	article	0	1982-11-01T00:00:00+00:00	0	0	8	0	0	1
5067	22978992	['Polack, A', 'Hörtnagel, K', 'Pajic, A', 'Christoph, B', 'Baier, B', 'Falk, M', 'Mautner, J', 'Geltinger, C', 'Bornkamm, G W', 'Kempkes, B']	Proceedings of the National Academy of Sciences of the United States of America	article	0	1996-09-17T00:00:00+00:00	1	0	19	0.05	0	0.95
5415	41806686	['E P Rieber', 'C Federle', 'C Reiter', 'S Krauss', 'L Gürtler', 'J Eberle', 'F Deinhardt', 'G Riethmüller']	Proceedings of the National Academy of Sciences of the United States of America	article	6	1992-11-15T00:00:00+00:00	0	0	8	0	0	1
5588	3227392	['Samuel Eilenberg', 'Norman E. Steenrod']	Proceedings of the National Academy of Sciences of the United States of America	article	3	1945-04-01T00:00:00+00:00	2	0	0	1	0	0
5695	42114179	['F P Wolter', 'C C Fritz', 'L Willmitzer', 'J Schell', 'P H Schreier']	Proceedings of the National Academy of Sciences of the United States of America	article	3	1988-02-01T00:00:00+00:00	0	0	5	0	0	1
5730	3406514	['S M Troyanovsky', 'R B Troyanovsky', 'L G Eshkind', 'R E Leube', 'W W Franke', 'S. M. Troyanovsky', 'R. B. Troyanovsky', 'L. G. Eshkind', 'R. E. Leube', 'W. W. Franke']	Proceedings of the National Academy of Sciences of the United States of America	article	3	1994-11-08T00:00:00+00:00	0	0	10	0	0	1
6489	21355559	['Hannes P. Saal', 'Benoit P. Delhaye', 'Brandon C. Rayhaun', 'Sliman J. Bensmaia']	Proceedings of the National Academy of Sciences of the United States of America	article	108.072	2017-06-26T00:00:00+00:00	2	0	2	0.5	0	0.5
6823	1131700	['Sergiy O. Garbuzynskiy', 'Dmitry N. Ivankov', 'Natalya S. Bogatyreva', 'Alexei V. Finkelstein', 'S. O. Garbuzynskiy', 'D. N. Ivankov', 'N. S. Bogatyreva', 'A. V. Finkelstein']	Proceedings of the National Academy of Sciences of the United States of America	article	2	2012-12-18T00:00:00+00:00	0	1	7	0	0.125	0.875
7390	2655598	['Philip Downey']	Proceedings of the National Academy of Sciences of the United States of America	article	1.5	2010-08-31T00:00:00+00:00	1	0	0	1	0	0
7775	3848017	['Lin DH', 'Yue P', 'Yarborough O 3rd', 'Scholl UI', 'Giebisch G', 'Lifton RP', 'Rinehart J', 'Wang WH']	Proceedings of the National Academy of Sciences of the United States of America	article	0	2015-03-26T00:00:00+00:00	0	0	8	0	0	1
