id	altmetric_id	authors	journal	type	altmetric_score	date	males	females	unknown	percmales	percfemales	percunknown
31104	19792086	['Grace W Lindsay', 'Mattia Rigotti', 'Melissa R. Warden', 'Earl K Miller', 'Stefano Fusi', 'Grace W. Lindsay', 'Earl K. Miller']	bioRxiv	article	17.4	2017-05-02T00:00:00+00:00	3	3	1	0.428571428571429	0.428571428571429	0.142857142857143
32469	11986049	['Elliot A. Perens', 'Zayra V. Garavito-Aguilar', 'Gina P. Guio-Vega', 'Karen T. Pena', 'Yocheved L. Schindler', 'Deborah Yelon']	bioRxiv	article	7.934	2016-09-13T00:00:00+00:00	1	3	2	0.166666666666667	0.5	0.333333333333333
34057	6136790	['Jason Tylianakis', 'Laura Martínez-García', 'Sarah Richardson', 'Duane Peltzer', 'Ian A. Dickie']	bioRxiv	article	4.75	2016-03-07T00:00:00+00:00	3	2	0	0.6	0.4	0
34456	41719749	['Aimee Murray', 'Lihong Zhang', 'Xiaole Yin', 'Tong Zhang', 'Angus Buckling', 'Jason Snape', 'William Gaze']	bioRxiv	article	28.3	2018-05-16T00:00:00+00:00	3	1	3	0.428571428571429	0.142857142857143	0.428571428571429
34715	42617204	['Kaile Zhang', 'Jun Chen', 'Shukui Zhou', 'Ranxin Yang', 'Ying Wang', 'Qiang Fu', 'Rong Chen', 'Xiaolan Fang']	bioRxiv	article	1	2018-05-25T00:00:00+00:00	1	0	7	0.125	0	0.875
34990	7043542	['Padmini Rangamani', 'Michael G. Levy', 'Shahid M. Khan', 'George Oster']	bioRxiv	article	2.35	2016-04-27T00:00:00+00:00	2	0	2	0.5	0	0.5
35848	31008703	['Dong-Suk Kim', 'Poojya Anantharam', 'Andrea Hoffman', 'Mitchell L Meade', 'Nadja Grobe', 'Jeffery M Gearhart', 'Elizabeth M Whitley', 'Belinda Mahama', 'Wilson K Rumbeiha']	bioRxiv	article	0.25	2017-12-28T00:00:00+00:00	3	5	1	0.333333333333333	0.555555555555556	0.111111111111111
36119	31968276	['Carmen Mirabelli', 'Martine Jaspers', 'Mieke Boon', 'Mark Jorissen', 'Mohamed Koukni', 'Dorothee Bardiot', 'Patrick Chaltin', 'Arnaud Marchand', 'Johan Neyts', 'Dirk Jochmans']	bioRxiv	article	1.75	2018-01-19T00:00:00+00:00	6	2	2	0.6	0.2	0.2
37704	16183760	['Oscar Alejandro Perez-Escobar', 'Marc Gottschling', 'Guillaume Chomicki', 'Fabien L. Condamine', 'Bente Klitgaard', 'Emerson Pansarin', 'Guenter Gerlach']	bioRxiv	article	2.6	2017-02-06T00:00:00+00:00	6	0	1	0.857142857142857	0	0.142857142857143
37877	24632642	['Daniel Bennett', 'Karen Sasmita', 'Carsten Murawski', 'Stefan Bode']	bioRxiv	article	2.75	2017-09-01T00:00:00+00:00	3	1	0	0.75	0.25	0
38440	24634431	['Sarah Robinson', 'Michal Huflejt', 'Pierre Barbier de Reuille', 'Siobhan A. Braybrook', 'Martine Schorderet', 'Didier Reinhardt', 'Cris Kuhlemeier']	bioRxiv	article	25.1	2017-09-01T00:00:00+00:00	2	4	1	0.285714285714286	0.571428571428571	0.142857142857143
40479	4602361	['Benedicte Madon', 'Eric Le Nuz', 'Cedric Ferlat', 'Yves Hingrat']	bioRxiv	article	1.5	2015-10-08T00:00:00+00:00	3	0	1	0.75	0	0.25
41851	21550116	['Joiselle Fernandes', 'Marine Duhamel', 'Mathilde Seguela-Arnaud', 'Nicole Froger', 'Chloe Girard', 'Sandrine Choinard', 'Nancy De Winne', 'Geert De Jaeger', 'Kris Gevaert', 'Raphael Guerois', 'Rajeev Kumar', 'Raphael Mercier']	bioRxiv	article	11.75	2017-07-06T00:00:00+00:00	2	6	4	0.166666666666667	0.5	0.333333333333333
42260	3777804	['Nicola De Maio', 'Dominik Schrempf', 'Carolin Kosiol']	bioRxiv	article	14.65	2015-06-03T00:00:00+00:00	1	1	1	0.333333333333333	0.333333333333333	0.333333333333333
42419	43178657	['Julia Canet-Pons', 'Ralf Schubert', 'Ruth Pia Duecker', 'Roland Schrewe', 'Sandra Woelke', 'Martina Schnoelzer', 'Georg Auburger', 'Stefan Zielen', 'Uwe Warnken']	bioRxiv	article	1.5	2018-06-02T00:00:00+00:00	2	5	2	0.222222222222222	0.555555555555556	0.222222222222222
43011	40901761	['Bing Ma', 'Elias McComb', 'Pawel Gajer', 'Hongqiu Yang', 'Mike Humphrys', 'Adora C Okogbule-Wonodi', 'Alessio Fasano', 'Jacques Ravel', 'Rose M Viscardi']	bioRxiv	article	10.43	2018-05-09T00:00:00+00:00	4	1	4	0.444444444444444	0.111111111111111	0.444444444444444
43890	13279831	['Charalampos Lazaris', 'Stephen Kelly', 'Panagiotis Ntziachristos', 'Iannis Aifantis', 'Aristotelis Tsirigos']	bioRxiv	article	11.6	2016-11-02T00:00:00+00:00	2	1	2	0.4	0.2	0.4
44240	9912041	['Naomi Scott', 'Jeff Lauzon-Joset', 'Anya Jones', 'Kyle Mincham', 'Niamh Troy', 'Jonatan Leffler', 'Michael Serralha', 'Susan Prescott', 'Sarah Robertson', 'Christian Pasquali', 'Anthony Bosco', 'Patrick Holt', 'Deborah Strickland']	bioRxiv	article	1	2016-07-20T00:00:00+00:00	9	6	-2	0.692307692307692	0.461538461538462	-0.153846153846154
44966	33405477	['Nina Trautmann', 'Jerome C. Foo', 'Josef Frank', 'Stephanie H. Witt', 'Fabian Streit', 'Jens Treutlein', 'Steffen Conrad von Heydendorff', 'Maria Gilles', 'Major Depressive Disorder Working Group of the PGC', 'Andreas J. Forstner', 'Ulrich Ebner-Priemer', 'Markus M. Noethen', 'Michael Deuschle', 'Marcella Rietschel']	bioRxiv	article	1.25	2018-02-19T00:00:00+00:00	10	4	0	0.714285714285714	0.285714285714286	0
45141	6333278	['Benjamin M Stormo', 'Donald T Fox']	bioRxiv	article	3.35	2016-03-25T00:00:00+00:00	2	0	0	1	0	0
45156	21270959	['Jason R. Gallant', 'Joshua Sperling', 'Catherine Cheng', 'Matthew E. Arnegard', 'Bruce Carlson', 'Carl Hopkins']	bioRxiv	article	3.25	2017-06-22T00:00:00+00:00	5	1	0	0.833333333333333	0.166666666666667	0
45693	25081234	['Shohei Komaki', 'Takeshi Igawa']	bioRxiv	article	1.5	2017-09-10T00:00:00+00:00	0	0	2	0	0	1
47228	10448750	['Yusuke Matsui', 'Atsushi Niida', 'Ryutaro Uchi', 'Koshi Mimori', 'Satoru Miyano', 'Teppei Shimamura']	bioRxiv	article	6.25	2016-08-12T00:00:00+00:00	0	0	6	0	0	1
48375	20917288	['Rita Dunn', 'Jonah Elgart', 'Lisa Lokshina', 'Alexander Faisman', 'Edward Khokhlovich', 'Yuriy Gankin', 'Andrey Vyshedskiy']	bioRxiv	article	3.5	2017-06-08T00:00:00+00:00	3	2	2	0.428571428571429	0.285714285714286	0.285714285714286
48497	43639561	['Glenda M Yenni', 'Erica M Christensen', 'Ellen K Bledsoe', 'Sarah R Supp', 'Renata M Diaz', 'Ethan P White', 'S K Morgan Ernest']	bioRxiv	article	8.7	2018-06-12T00:00:00+00:00	2	5	0	0.285714285714286	0.714285714285714	0
48537	28552177	['Odon Thiebeauld', 'Magali Charvin', 'Meenu Singla Rastogi', 'Fan Yang', 'Dominique Pontier', 'Cecile Pouzet', 'Laure Bapaume', 'Guangyong Li', 'Laurent Deslandes', 'Thierry Lagrange', 'James R. Alfano', 'Lionel Navarro']	bioRxiv	article	10.55	2017-11-07T00:00:00+00:00	4	3	5	0.333333333333333	0.25	0.416666666666667
49197	10896913	['Emily B. Graham', 'Joseph E. Knelman', 'Rachel S. Gabor', 'Shon Schooler', 'Diane M. McKnight', 'Diana Nemergut', 'DIANE M. MCKNIGHT', 'Diana R. Nemergut']	bioRxiv	article	5.45	2016-08-29T00:00:00+00:00	2	4	2	0.25	0.5	0.25
