id	altmetric_id	authors	journal	type	altmetric_score	date	males	females	unknown	percmales	percfemales	percunknown
14071	42131761	['Ilanit Doron-Mor', 'Anat Hatzor', 'Alexander Vaskevich', 'Tamar van der Boom-Moav', 'Abraham Shanzer', 'Israel Rubinstein', 'Hagai Cohen']	Nature	article	3	2000-07-27T00:00:00+00:00	3	0	4	0.428571428571429	0	0.571428571428571
14089	22489856	['Penit, C', 'Paraf, A', 'Chapeville, F']	Nature	article	0	1975-07-24T00:00:00+00:00	0	0	6	0	0	1
14119	4090564	None	Nature	article	3	1968-04-13T00:00:00+00:00	0	0	1	0	0	1
14405	11998496	['Quirin Schiermeier']	Nature	news	457.096	2016-09-14T00:00:00+00:00	0	0	1	0	0	1
14560	5475161	['N. C. Greenham', 'S. C. Moratti', 'D. D. C. Bradley', 'R. H. Friend', 'A. B. Holmes']	Nature	article	6	1993-10-14T00:00:00+00:00	1	0	4	0.2	0	0.8
14809	15232371	['Christopher J. Evans', 'Evans, Christopher J']	Nature	article	28.35	2017-01-04T00:00:00+00:00	1	0	2	0.333333333333333	0	0.666666666666667
15045	519375	['Sousa-Nunes R', 'Yee LL', 'Gould AP', 'Rita Sousa-Nunes', 'Lih Ling Yee', 'Alex P. Gould']	Nature	article	1	1970-01-01T01:00:00+00:00	1	2	3	0.166666666666667	0.333333333333333	0.5
15303	496444	['Meredith Wadman']	Nature	news	71.43	2011-12-16T00:00:00+00:00	0	1	0	0	1	0
15604	3082280	['Richard Van Noorden']	Nature	news	513.672	2015-01-20T00:00:00+00:00	1	0	0	1	0	0
15942	244703	None	Nature	article	1	2011-08-24T00:00:00+00:00	0	0	1	0	0	1
16905	1036360	['Deirdre Lockwood']	Nature	news	1	2005-03-24T00:00:00+00:00	0	1	0	0	1	0
17278	41499418	['Ryo Yoshida', 'Katsumi Uchida', 'Yuzo Kaneko', 'Kiyotaka Sakai', 'Akihiko Kikuchi', 'Yasuhisa Sakurai', 'Teruo Okano']	Nature	article	3	1995-03-16T00:00:00+00:00	0	0	7	0	0	1
17707	14569512	['GEORGE G. WRIGHT', 'MILTON PUZISS']	Nature	article	3	1957-05-04T00:00:00+00:00	2	0	0	1	0	0
18368	14334951	['Mark D. Zoback', 'William H. Prescott', 'Scot W. Krueger']	Nature	article	0	1985-10-24T00:00:00+00:00	2	0	1	0.666666666666667	0	0.333333333333333
18586	107813	['L G Cohen', 'P Celnik', 'A Pascual-Leone', 'B Corwell', 'L Falz', 'J Dambrosia', 'M Honda', 'N Sadato', 'C Gerloff', 'M D Catalá', 'M Hallett', 'Leonardo G. Cohen', 'Pablo Celnik', 'Alvaro Pascual-Leone', 'Brian Corwell', 'Lala Faiz', 'James Dambrosia', 'Manabu Honda', 'Norihiro Sadato', 'Christian Gerloff', 'M. Dolores Catala´', 'Mark Hallett']	Nature	article	17.5	1997-09-11T00:00:00+00:00	7	2	13	0.318181818181818	0.0909090909090909	0.590909090909091
20071	15794862	None	Nature	news	63.05	2017-01-26T00:00:00+00:00	0	0	1	0	0	1
20354	119155	['John Abrahamson', 'James Dinniss']	Nature	article	61.656	2000-02-03T00:00:00+00:00	2	0	0	1	0	0
20784	41588523	['Rudolf Amann', 'Nina Springer', 'Wolfgang Ludwig', 'Hans-Dieter Görtz', 'Karl-Heinz Schleifer']	Nature	article	6	1991-05-09T00:00:00+00:00	2	1	2	0.4	0.2	0.4
20961	499803	['James F. Crow']	Nature	article	15	2001-02-15T00:00:00+00:00	1	0	0	1	0	0
22425	110598	['Daniel Cressey']	Nature	news	37.316	2009-11-16T00:00:00+00:00	1	0	0	1	0	0
22798	1290750	['Bruce B. Collette', 'Beth Polidoro', 'Kent Carpenter', 'Collette BB', 'Polidoro B', 'Carpenter K']	Nature	article	0.25	2013-03-06T00:00:00+00:00	2	1	3	0.333333333333333	0.166666666666667	0.5
23263	14508300	['J. M. MERRICK', 'M. DOUDOROFF']	Nature	article	3	1961-03-18T00:00:00+00:00	0	0	2	0	0	1
23519	3931981	['Jan Zalasiewicz', 'Zalasiewicz, Jan']	Nature	article	24.842	2015-04-22T00:00:00+00:00	0	0	3	0	0	1
23829	34673246	None	Nature	news	27.55	2018-03-22T00:00:00+00:00	0	0	1	0	0	1
