id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors
242685	1817951	['Hiroyasu Konno', 'Keiko Konno', 'Glen\xa0N. Barber']	Cell	article	10.1016/j.cell.2013.09.049	15.5	2013-10-10T00:00:00+00:00	2013	10	2	1	0	0.666666666666667	0.333333333333333	0	3	male	1	male	0.55	firstlast	Hiroyasu Konno, Keiko Konno, Glen Barber
242783	1570959	['J.\xa0Ross Buchan', 'Regina-Maria Kolaitis', 'J.\xa0Paul Taylor', 'Roy Parker', 'Buchan JR', 'Kolaitis RM', 'Taylor JP', 'Parker R', 'J. Ross Buchan', 'J. Paul Taylor']	Cell	article	10.1016/j.cell.2013.05.037	20.8	2013-01-01T00:00:00+00:00	2013	1	0	1	5	0	0.166666666666667	0.833333333333333	6					nofirstname	Buchan J, Regina-Maria Kolaitis, Taylor J, Roy Parker, J Ross, J Paul
242809	3127635	['Lorch, Y', 'LaPointe, J W', 'Kornberg, R D', 'Yahli Lorch', 'Janice W. LaPointe', 'Roger D. Kornberg']	Cell	article	10.1016/0092-8674(87)90561-7	6	2016-01-03T13:19:34+00:00	2016	1	1	1	1	0.333333333333333	0.333333333333333	0.333333333333333	3			male	0.98	lastfirst	Lorch Yahli, LaPointe Janice, Kornberg Roger
257307	23725614	['Hamperl, Stephan', 'Bocek, Michael J.', 'Saldivar, Joshua C.', 'Swigut, Tomek', 'Cimprich, Karlene A.', 'Stephan Hamperl', 'Michael J. Bocek', 'Joshua C. Saldivar', 'Tomek Swigut', 'Karlene A. Cimprich']	Cell	article	10.1016/j.cell.2017.07.043	24.4	2017-08-01T00:00:00+00:00	2017	8	4	1	0	0.8	0.2	0	5	male	0.99	female	0.94	lastfirst	Hamperl Stephan, Bocek Michael, Saldivar Joshua, Swigut Tomek, Cimprich Karlene
262389	2698717	['Zhang XO', 'Wang HB', 'Zhang Y', 'Lu X', 'Chen LL', 'Yang L']	Cell	article	10.1016/j.cell.2014.09.001	29.004	2014-09-16T23:00:00+00:00	2014	9	0	0	6	0	0	1	6					nofirstname	Zhang X, Wang H, Zhang Y, Lu X, Chen L, Yang L
272141	3069475	['Loo JM', 'Scherl A', 'Nguyen A', 'Man FY', 'Weinberg E', 'Zeng Z', 'Saltz L', 'Paty PB', 'Tavazoie SF', 'Jia\xa0Min Loo', 'Alexis Scherl', 'Alexander Nguyen', 'Fung\xa0Ying Man', 'Ethan Weinberg', 'Zhaoshi Zeng', 'Leonard Saltz', 'Philip\xa0B. Paty', 'Sohail\xa0F. Tavazoie']	Cell	article	10.1016/j.cell.2014.12.018	63.55	2015-01-15T00:00:00+00:00	2015	1	8	1	0	0.888888888888889	0.111111111111111	0	9	female	0.63	male	0.99	lastfirst	Loo Jia, Scherl Alexis, Nguyen Alexander, Man Fung, Weinberg Ethan, Zeng Zhaoshi, Saltz Leonard, Paty Philip, Tavazoie Sohail
272316	1746692	['Peter\xa0S. Roland', 'Emily Tobey']	Cell	article	10.1016/j.cell.2013.08.047	0.25	2013-01-01T00:00:00+00:00	2013	1	1	1	0	0.5	0.5	0	2	male	0.99	female	0.98	firstlast	Peter Roland, Emily Tobey
272398	29013168	['Jarosz, Daniel F.', 'Khurana, Vikram', 'Daniel F. Jarosz', 'Vikram Khurana']	Cell	article	10.1016/j.cell.2017.10.047	73.448	2017-11-01T00:00:00+00:00	2017	11	2	0	0	1	0	0	2	male	0.99	male	0.99	lastfirst	Jarosz Daniel, Khurana Vikram
285727	1226792	['Jonathan\xa0S. Weissman', 'Bassik MC', 'Kampmann M', 'Lebbink RJ', 'Wang S', 'Hein MY', 'Poser I', 'Weibezahn J', 'Horlbeck MA', 'Chen S', 'Mann M', 'Hyman AA', 'Leproust EM', 'McManus MT', 'Weissman JS', 'Michael\xa0C. Bassik', 'Martin Kampmann', 'Robert\xa0Jan Lebbink', 'Shuyi Wang', 'Marco\xa0Y. Hein', 'Ina Poser', 'Jimena Weibezahn', 'Max\xa0A. Horlbeck', 'Siyuan Chen', 'Matthias Mann', 'Anthony\xa0A. Hyman', 'Emily\xa0M. LeProust', 'Michael\xa0T. McManus']	Cell	article	10.1016/j.cell.2013.01.030	37.32	2013-02-07T00:00:00+00:00	2013	2	10	1	4	0.666666666666667	0.0666666666666667	0.266666666666667	15			male	0.99	firstlast	Leproust E, Jonathan Weissman, Bassik Michael, Kampmann Martin, Lebbink Robert, Wang Shuyi, Hein Marco, Poser Ina, Weibezahn Jimena, Horlbeck Max, Chen Siyuan, Mann Matthias, Hyman Anthony, Emily LeProust, Michael McManus
288534	21200415	['Jianwei Wang', 'Qian Sun', 'Yohei Morita', 'Hong Jiang', 'Alexander Groß', 'André Lechel', 'Kai Hildner', 'Luis\xa0Miguel Guachalla', 'Anne Gompf', 'Daniel Hartmann', 'Axel Schambach', 'Torsten Wüstefeld', 'Daniel Dauch', 'Hubert Schrezenmeier', 'Wolf-Karsten Hofmann', 'Hiromitsu Nakauchi', 'Zhenyu Ju', 'Hans\xa0A. Kestler', 'Lars Zender', 'K.\xa0Lenhard Rudolph']	Cell	article	10.1016/j.cell.2014.08.033	10.12	2014-09-01T00:00:00+00:00	2014	9	17	2	1	0.85	0.1	0.05	20	male	0.64			firstlast	Jianwei Wang, Qian Sun, Yohei Morita, Hong Jiang, Alexander Groß, André Lechel, Kai Hildner, Luis Miguel, Anne Gompf, Daniel Hartmann, Axel Schambach, Torsten Wüstefeld, Daniel Dauch, Hubert Schrezenmeier, Wolf-Karsten Hofmann, Hiromitsu Nakauchi, Zhenyu Ju, Hans Kestler, Lars Zender, K Lenhard
288766	4185188	['Sato, Toshiro', 'Clevers, Hans', 'Toshiro Sato', 'Hans Clevers']	Cell	article	10.1016/j.cell.2015.06.028	1	2015-06-20T22:01:29+00:00	2015	6	2	0	0	1	0	0	2	male	0.99	male	0.97	lastfirst	Sato Toshiro, Clevers Hans
