id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors																																																																																								
21115	20691110	"['Linlin Dong', 'Jiang Xu', 'Lianjuan Zhang', 'Guangfei Wei', 'He Su', 'Juan Yang', 'Jun Qian', 'Ran Xu', 'Baosheng Liao', 'Liang Shen', 'Mingli Wu', 'Ruiyang Cheng', 'Shilin Chen']"	bioRxiv	article	10.1101/143412	0.75	2017-05-29T00:00:00+00:00	2017	5	11	2	0	0.846153846	0.153846154	0	13	male	0.92	male	0.62	lastfirst	"Linlin Dong, Jiang Xu, Lianjuan Zhang, Guangfei Wei, He Su, Juan Yang, Jun Qian, Ran Xu, Baosheng Liao, Liang Shen, Mingli Wu, Ruiyang Cheng, Shilin Chen"																																																																																								
21597	21299774	"['Ilaria Dorigatti', 'Arran Hamlet', 'Ricardo Aguas', 'Lorenzo Cattarino', 'Anne Cori', 'Christl A. Donnelly', 'Tini Garske', 'Natsuko Imai', 'Neil M. Ferguson']"	bioRxiv	article	10.1101/152280	11.1	2017-06-23T00:00:00+00:00	2017	6	4	5	0	0.444444444	0.555555556	0	9	female	0.99	male	0.99	firstlast	"Ilaria Dorigatti, Arran Hamlet, Ricardo Aguas, Lorenzo Cattarino, Anne Cori, Christl Donnelly, Tini Garske, Natsuko Imai, Neil Ferguson"																																																																																								
22840	33206148	"['Inger Greve Alsos', 'Youri Lammers', 'Nigel Giles Yoccoz', 'Tina Joergensen', 'Per Sjoegren', 'Ludovic Gielly', 'Mary E Edwards']"	bioRxiv	article	10.1101/264903	9.33	2018-02-14T00:00:00+00:00	2018	2	4	3	0	0.571428571	0.428571429	0	7	female	0.96	female	0.99	firstlast	"Inger Greve, Youri Lammers, Nigel Giles, Tina Joergensen, Per Sjoegren, Ludovic Gielly, Mary Edwards"																																																																																								
23512	26974791	"['Pingjuan Li', 'Benjamin P. Kleinstiver', 'Mihoko Y. Leon', 'Michelle S. Prew', 'Daniel Navarro-Gomez', 'Scott H. Greenwald', 'Eric A. Pierce', 'J. Keith Joung', 'Qin Liu']"	bioRxiv	article	10.1101/197962	24.784	2017-10-03T00:00:00+00:00	2017	10	4	4	1	0.444444444	0.444444444	0.111111111	9	female	0.63			firstlast	"Pingjuan Li, Benjamin Kleinstiver, Mihoko Leon, Michelle Prew, Daniel Navarro-Gomez, Scott Greenwald, Eric Pierce, J Keith, Qin Liu"																																																																																								
23943	43084614	"['Daniel Commenges', 'Chariff Alkhassim', 'Raphael Gottardo', 'Boris Hejblum', 'Rodolphe Thiebaut']"	bioRxiv	article	10.1101/335554	10.93	2018-05-31T00:00:00+00:00	2018	5	4	0	1	0.8	0	0.2	5	male	0.99	male	0.99	firstlast	"Daniel Commenges, Chariff Alkhassim, Raphael Gottardo, Boris Hejblum, Rodolphe Thiebaut"																																																																																								
26876	29429999	"['Shubham Tripathi', 'Michael Deem']"	bioRxiv	article	10.1101/225003	3.35	2017-11-25T00:00:00+00:00	2017	11	2	0	0	1	0	0	2	male	0.99	male	0.99	firstlast	"Shubham Tripathi, Michael Deem"																																																																																								
28612	43760170	"['Luiz R Basso', 'Relber A. Goncales', 'Elton J. R. Vasconcelos', 'Thaila F Reis', 'Patricia C Ruy', 'Jeronimo C Ruiz', 'Paulo S. R. Coelho']"	bioRxiv	article	10.1101/347351	0.5	2018-06-15T00:00:00+00:00	2018	6	4	2	1	0.571428571	0.285714286	0.142857143	7	male	0.98	male	0.99	firstlast	"Luiz Basso, Relber Goncales, Elton Vasconcelos, Thaila Reis, Patricia Ruy, Jeronimo Ruiz, Paulo Coelho"																																																																																								
28876	27276358	"['Lisette Meerstein-Kessel', 'Robin van der Lee', 'Will Stone', 'Kjerstin Lanke', 'David A Baker', 'Pietro Alano', 'Francesco Silvestrini', 'Chris J Janse', 'Shahid M Khan', 'Marga van de Vegte-Bolmer', 'Wouter Graumans', 'Rianne Siebelink-Stoter', 'Taco WA Kooij', 'Matthias Marti', 'Chris Drakeley', 'Joseph J Campo', 'Teunis JP van Dam', 'Robert Sauerwein', 'Teun Bousema', 'Martijn A Huynen']"	bioRxiv	article	10.1101/199356	1.75	2017-10-10T00:00:00+00:00	2017	10	16	4	0	0.8	0.2	0	20	female	0.99	male	0.99	firstlast	"Lisette Meerstein-Kessel, Robin van, Will Stone, Kjerstin Lanke, David Baker, Pietro Alano, Francesco Silvestrini, Chris Janse, Shahid Khan, Marga van, Wouter Graumans, Rianne Siebelink-Stoter, Taco Kooij, Matthias Marti, Chris Drakeley, Joseph Campo, Teunis van, Robert Sauerwein, Teun Bousema, Martijn Huynen"																																																																																								
29935	3949675	"['Juan Carlos Carlos Rocha', 'Garry D Peterson', 'Reinette Oonsie Biggs', 'Rocha, Juan Carlos Carlos', 'Peterson, Garry D', 'Biggs, Reinette Oonsie']"	bioRxiv	article	10.1101/018549	1.75	2015-04-28T00:00:00+00:00	2015	4	2	1	0	0.666666667	0.333333333	0	3	male	0.98	female	0.96	firstlast	"Juan Carlos, Garry Peterson, Reinette Oonsie"																																																																																								
31104	19792086	"['Grace W Lindsay', 'Mattia Rigotti', 'Melissa R. Warden', 'Earl K Miller', 'Stefano Fusi', 'Grace W. Lindsay', 'Earl K. Miller']"	bioRxiv	article	10.1101/133025	17.4	2017-05-02T00:00:00+00:00	2017	5	3	2	0	0.6	0.4	0	5	male	0.98	male	0.97	firstlast	"Mattia Rigotti, Melissa Warden, Stefano Fusi, Grace Lindsay, Earl Miller"																																																																																								
32469	11986049	"['Elliot A. Perens', 'Zayra V. Garavito-Aguilar', 'Gina P. Guio-Vega', 'Karen T. Pena', 'Yocheved L. Schindler', 'Deborah Yelon']"	bioRxiv	article	10.1101/075036	7.934	2016-09-13T00:00:00+00:00	2016	9	1	5	0	0.166666667	0.833333333	0	6	male	0.97	female	0.99	firstlast	"Elliot Perens, Zayra Garavito-Aguilar, Gina Guio-Vega, Karen Pena, Yocheved Schindler, Deborah Yelon"																																																																																								
34057	6136790	"['Jason Tylianakis', 'Laura Martínez-García', 'Sarah Richardson', 'Duane Peltzer', 'Ian A. Dickie']"	bioRxiv	article	10.1101/042572	4.75	2016-03-07T00:00:00+00:00	2016	3	3	2	0	0.6	0.4	0	5	male	0.99	male	0.99	firstlast	"Jason Tylianakis, Laura Martínez-García, Sarah Richardson, Duane Peltzer, Ian Dickie"																																																																																								
34456	41719749	"['Aimee Murray', 'Lihong Zhang', 'Xiaole Yin', 'Tong Zhang', 'Angus Buckling', 'Jason Snape', 'William Gaze']"	bioRxiv	article	10.1101/323634	28.3	2018-05-16T00:00:00+00:00	2018	5	4	2	1	0.571428571	0.285714286	0.142857143	7	female	0.97	male	0.76	lastfirst	"Aimee Murray, Lihong Zhang, Xiaole Yin, Tong Zhang, Angus Buckling, Jason Snape, William Gaze"																																																																																								
